Track ID,Track Name,Artist Name,Frequency
1hJ6KojJObbRvjuVj8Ezya,Paper Houses,Niall Horan,3
1QuZBM0iHDlr1oRVyeZypC,Anbil Avan,A.R. Rahman,3
1AbSrAwrzuC3FcDXoYi3ED,Naan Nee,Santhosh Narayanan,3
0awZMpokrVSdvtYe1MdcWM,Morning Glory - Remastered,Oasis,3
0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,3
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,3
05CNnC9ugYgnJgg6fIgyeQ,Roll with It - Remastered,Oasis,3
7yDh4GJAoiAJJg2lPaSt4X,Songbird,Oasis,2
7iPlcFvOMOzt6v0QvcAueZ,I Always Wanna Die (Sometimes),The 1975,2
7hMKAmUlUUYa5qEiHWK4bk,Pookkal Pookkum,G. V. Prakash,2
7gwuIhFmNaf3wcRWG1WadD,Nallai Allai,A.R. Rahman,2
7ARveOiD31w2Nq0n5FsSf8,Perfect Places,Lorde,2
6zdikHQs2PBFgGIZBxqOeV,Po Nee Po - The Pain of Love,Anirudh Ravichander,2
6tyMmVWrbRnjkYgqZs62Gq,Endhan Kann Munnae,Aalaap Raju,2
6sewH6rrJZeM40FdCxbJP8,Mazhai Varum - Female,Joshua Sridhar,2
6sAdmaffuMijDszeFrGF1H,"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander,2
6qBLachpHaVUmpHKWyesmq,"Neeyum Naanum (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander,2
6TvxPS4fj4LUdjw2es4g21,Slipping Through My Fingers,ABBA,2
6SRzIqukq69xlvVoTSmrW5,So Baby,Anirudh Ravichander,2
6R05n6BoyHIRhsOEUav5q5,Munbe Vaa,Naresh Iyer,2
6NFyWDv5CjfwuzoCkw47Xf,Delicate,Taylor Swift,2
6L89mwZXSOwYl76YXfX13s,Basket Case,Green Day,2
6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,2
6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",Sam C.S.,2
6D4waR2NXdGHQSnIDVVlqi,Nee Paarkum,Vidyasagar,2
68SQB9JEA3YKYPFejBOH2S,Mun Sellada,Santhosh Narayanan,2
66SlZtHkSoBox40vKlgjNh,En Vizhiyin Kanavu,Gopi Sundar,2
5qEn8c0MBzyRKgQq91Vevi,Out of My League,Fitz and The Tantrums,2
5l6hpyTGBK0LAAxgPnqTQL,Look After You,The Fray,2
5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2
5TbzAWWc5eJaANpA9kfGCd,Love Me Again,John Newman,2
51QEyJI5M7uyd8DOh9tqQY,Buzzcut Season,Lorde,2
4vlMdXsRpAIXYggwbNHZSv,Nenjukkul Peidhidum,Harris Jayaraj,2
4shmzSwbjpKUIlNhxzlVeC,Kadhal Sadugudu,S.P. Charan,2
4rsnPOEFqof5CDcfJKXYZB,Supersonic - Remastered,Oasis,2
4oNVmnywnXguyk76wkMuIb,Mudhal Nee Mudivum Nee Title Track,Darbuka Siva,2
4m0q0xQ2BNl9SCAGKyfiGZ,Somebody Else,The 1975,2
4bvi8n8Xa2kX0UG02cvuE9,Married with Children - Remastered,Oasis,2
4Uh41d7PlFHP2gCinJEWlr,Yaayum,Shabir Sulthan,2
4TKDMFIXIpWr30KvSKArqx,Kaadhal Konjam,Harris Jayaraj,2
4SKvKJaqkRl1bUZWEqTYzl,Sidelines,Phoebe Bridgers,2
4LIJn3SG7mCCNKQc6vyy5S,Yaaro Ivan,G. V. Prakash,2
